fighter_1,fighter_2,knockdowns_1,knockdowns_2,total_strikes_1,total_strikes_2,significant_strikes_1,significant_strikes_2,head_strikes_1,head_strikes_2,body_strikes_1,body_strikes_2,leg_strikes_1,leg_strikes_2,distance_strikes_1,distance_strikes_2,clinch_strikes_1,clinch_strikes_2,ground_strikes_1,ground_strikes_2,takedowns_1,takedowns_2,submission_attempts_1,submission_attempts_2,reversals_1,reversals_2,control_time_1,control_time_2,result,method,round,time,referee,ufc_stats_com_url
Dennis Buzukja,Jamall Emmers,0,1,3 of 7,14 of 20,3 of 7,14 of 20,0 of 4,8 of 12,1 of 1,2 of 4,2 of 2,4 of 4,3 of 7,10 of 14,0 of 0,0 of 0,0 of 0,4 of 6,0 of 0,0 of 0,0,0,0,0,0:00,0:03,L,KO/TKO,1,0:49,Keith Peterson,http://ufcstats.com/fight-details/1cf69de0eea46877
Jailton Almeida,Derrick Lewis,0,0,120 of 153,28 of 54,38 of 56,20 of 39,32 of 48,17 of 33,5 of 5,3 of 6,1 of 3,0 of 0,5 of 7,2 of 10,3 of 8,1 of 1,30 of 41,17 of 28,6 of 15,0 of 2,4,0,1,0,21:10,0:57,W,Decision - Unanimous,5,5:00,Marc Goddard,http://ufcstats.com/fight-details/ac37849f627a79c4
Gabriel Bonfim,Nicolas Dalby,0,1,47 of 103,64 of 128,39 of 91,53 of 113,27 of 77,41 of 96,3 of 4,7 of 11,9 of 10,5 of 6,32 of 71,25 of 76,3 of 9,25 of 33,4 of 11,3 of 4,3 of 5,0 of 1,1,0,0,0,4:19,1:27,L,KO/TKO,2,4:33,Jason Herzog,http://ufcstats.com/fight-details/3a81276a9641c6a1
Rodrigo Nascimento,Don'Tale Mayes,0,0,91 of 180,105 of 190,70 of 154,79 of 159,51 of 132,39 of 103,9 of 11,30 of 44,10 of 11,10 of 12,58 of 134,55 of 128,12 of 20,24 of 31,0 of 0,0 of 0,0 of 3,0 of 1,0,0,0,0,2:21,0:39,W,Decision - Unanimous,3,5:00,Osiris Maia,http://ufcstats.com/fight-details/119bc264e2bb9877
Caio Borralho,Abus Magomedov,1,0,70 of 126,39 of 110,51 of 103,38 of 107,33 of 73,19 of 74,11 of 15,14 of 24,7 of 15,5 of 9,50 of 102,38 of 107,0 of 0,0 of 0,1 of 1,0 of 0,0 of 1,0 of 0,0,0,0,0,2:17,0:00,W,Decision - Unanimous,3,5:00,Marc Goddard,http://ufcstats.com/fight-details/7d474fbf31894108
Elves Brener,Kaynan Kruschewsky,1,0,16 of 33,8 of 31,16 of 33,8 of 31,6 of 20,6 of 25,2 of 3,2 of 6,8 of 10,0 of 0,16 of 33,8 of 31,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0,0,0,0,0:03,0:00,W,KO/TKO,1,4:01,Osiris Maia,http://ufcstats.com/fight-details/ff8f92cf8fb1b76c
Rinat Fakhretdinov,Elizeu Zaleski dos Santos,1,0,109 of 216,115 of 211,87 of 186,75 of 152,50 of 144,47 of 113,11 of 16,17 of 26,26 of 26,11 of 13,65 of 156,57 of 129,7 of 8,2 of 3,15 of 22,16 of 20,1 of 9,0 of 1,0,1,1,0,4:25,1:24,D,Decision - Majority,3,5:00,Fernando Portella,http://ufcstats.com/fight-details/b5ea6535748edbce
Vitor Petrino,Modestas Bukauskas,1,0,14 of 34,12 of 23,8 of 26,9 of 19,6 of 23,5 of 14,2 of 3,0 of 0,0 of 0,4 of 5,7 of 21,9 of 19,0 of 0,0 of 0,1 of 5,0 of 0,1 of 2,0 of 0,0,0,0,0,2:18,0:00,W,KO/TKO,2,1:03,Marc Goddard,http://ufcstats.com/fight-details/6532b71560ae39e0
Angela Hill,Denise Gomes,0,0,96 of 153,111 of 203,76 of 120,62 of 133,37 of 76,29 of 91,37 of 42,25 of 33,2 of 2,8 of 9,40 of 68,34 of 97,33 of 44,27 of 35,3 of 8,1 of 1,5 of 9,1 of 3,0,0,1,1,8:03,1:03,W,Decision - Unanimous,3,5:00,Fernando Portella,http://ufcstats.com/fight-details/7df5998eca143c04
Eduarda Moura,Montserrat Conejo Ruiz,0,0,102 of 139,9 of 29,57 of 77,5 of 22,55 of 75,0 of 15,2 of 2,0 of 2,0 of 0,5 of 5,5 of 12,5 of 22,1 of 1,0 of 0,51 of 64,0 of 0,3 of 3,0 of 0,0,0,0,0,5:57,0:02,W,KO/TKO,2,2:14,Joao Claudio Soares,http://ufcstats.com/fight-details/9e2bb8d5961b44d4
